======== [ LOG CREATION: 05/12/2022, 15:26:52 ] ========
[05/12/2022, 15:26:52][MAIN] : INFO : Logger started!
[05/12/2022, 15:26:52][MQTT] : INFO : Logger linked!
[05/12/2022, 15:26:52][DS] : INFO : Logger linked!
[05/12/2022, 15:26:52][TEMP] : INFO : Logger linked!
[05/12/2022, 15:26:52][MQTT] : INFO : Waiting for Connection...
[05/12/2022, 15:26:52][MQTT] : INFO : Callback recorded: light
[05/12/2022, 15:26:52][MQTT] : INFO : Callback recorded: Air
[05/12/2022, 15:26:52][MAIN] : NOTICE :System Started!
[05/12/2022, 15:26:52][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:26:52][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:26:52][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:26:52][MAIN] : INFO : Water level has changed
[05/12/2022, 15:26:52][MAIN] : WARN :Water level is low!
[05/12/2022, 15:26:52][MAIN] : INFO : Power status changed
[05/12/2022, 15:26:52][MQTT] : INFO : Connection Established!
[05/12/2022, 15:26:52][MAIN] : WARN :Power has been lost!
[05/12/2022, 15:27:02][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:27:02][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:27:02][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:27:09][MAIN] : NOTICE :Received kill signal
[05/12/2022, 15:27:09][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/12/2022, 15:27:24 ] ========
[05/12/2022, 15:27:24][MAIN] : INFO : Logger started!
[05/12/2022, 15:27:24][MQTT] : INFO : Logger linked!
[05/12/2022, 15:27:24][DS] : INFO : Logger linked!
[05/12/2022, 15:27:24][TEMP] : INFO : Logger linked!
[05/12/2022, 15:27:24][MQTT] : INFO : Waiting for Connection...
[05/12/2022, 15:27:24][MQTT] : INFO : Callback recorded: light
[05/12/2022, 15:27:24][MQTT] : INFO : Callback recorded: Air
[05/12/2022, 15:27:24][MAIN] : NOTICE :System Started!
[05/12/2022, 15:27:24][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:27:24][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:27:24][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:27:24][MAIN] : INFO : Water level has changed
[05/12/2022, 15:27:24][MAIN] : WARN :Water level is low!
[05/12/2022, 15:27:24][MAIN] : INFO : Power status changed
[05/12/2022, 15:27:24][MQTT] : INFO : Connection Established!
[05/12/2022, 15:27:24][MAIN] : WARN :Power has been lost!
[05/12/2022, 15:27:33][MAIN] : NOTICE :Received kill signal
[05/12/2022, 15:27:33][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/12/2022, 15:27:48 ] ========
[05/12/2022, 15:27:48][MAIN] : INFO : Logger started!
[05/12/2022, 15:27:48][MQTT] : INFO : Logger linked!
[05/12/2022, 15:27:48][DS] : INFO : Logger linked!
[05/12/2022, 15:27:48][TEMP] : INFO : Logger linked!
[05/12/2022, 15:27:48][MQTT] : INFO : Waiting for Connection...
[05/12/2022, 15:27:49][MQTT] : INFO : Callback recorded: light
[05/12/2022, 15:27:49][MQTT] : INFO : Callback recorded: Air
[05/12/2022, 15:27:49][MAIN] : NOTICE :System Started!
[05/12/2022, 15:27:49][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:27:49][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:27:49][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:27:49][MAIN] : INFO : Water level has changed
[05/12/2022, 15:27:49][MAIN] : WARN :Water level is low!
[05/12/2022, 15:27:49][MAIN] : INFO : Power status changed
[05/12/2022, 15:27:49][MQTT] : INFO : Connection Established!
[05/12/2022, 15:27:49][MAIN] : WARN :Power has been lost!
[05/12/2022, 15:27:59][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:27:59][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:27:59][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:28:09][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:28:09][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:28:09][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:28:19][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:28:19][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:28:19][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:28:19][MAIN] : NOTICE :Received kill signal
[05/12/2022, 15:28:19][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/12/2022, 15:31:44 ] ========
[05/12/2022, 15:31:44][MAIN] : INFO : Logger started!
[05/12/2022, 15:31:44][MQTT] : INFO : Logger linked!
[05/12/2022, 15:31:44][DS] : INFO : Logger linked!
[05/12/2022, 15:31:44][TEMP] : INFO : Logger linked!
[05/12/2022, 15:31:44][MQTT] : INFO : Waiting for Connection...
[05/12/2022, 15:31:45][MQTT] : INFO : Callback recorded: light
[05/12/2022, 15:31:45][MQTT] : INFO : Callback recorded: Air
[05/12/2022, 15:31:45][MAIN] : NOTICE :System Started!
[05/12/2022, 15:31:45][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:31:45][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:31:45][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:31:45][MAIN] : INFO : Water level has changed
[05/12/2022, 15:31:45][MAIN] : WARN :Water level is low!
[05/12/2022, 15:31:45][MAIN] : INFO : Power status changed
[05/12/2022, 15:31:45][MAIN] : WARN :Power has been lost!
[05/12/2022, 15:31:45][MQTT] : INFO : Connection Established!
[05/12/2022, 15:31:55][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:31:55][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:31:55][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:32:05][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:32:05][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:32:05][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:32:15][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:32:15][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:32:15][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:32:25][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:32:25][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:32:25][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:32:35][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 15:32:35][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
[05/12/2022, 15:32:35][MAIN] : WARN :Temp returned invalid value!
[05/12/2022, 15:32:36][MAIN] : NOTICE :Received kill signal
[05/12/2022, 15:32:36][DS] : NOTICE :Cleaning up...
======== [ RESTART: 05/12/2022, 16:05:39 ] ========
[05/12/2022, 16:05:39][MAIN] : INFO : Logger started!
[05/12/2022, 16:05:39][MQTT] : INFO : Logger linked!
[05/12/2022, 16:05:39][DS] : INFO : Logger linked!
[05/12/2022, 16:05:39][TEMP] : INFO : Logger linked!
[05/12/2022, 16:05:39][MQTT] : INFO : Waiting for Connection...
[05/12/2022, 16:05:40][MQTT] : INFO : Callback recorded: light
[05/12/2022, 16:05:40][MQTT] : INFO : Callback recorded: Air
[05/12/2022, 16:05:40][MAIN] : NOTICE :System Started!
[05/12/2022, 16:05:40][TEMP] : ERROR : Failed to read RAW temp! : name 'device_file' is not defined
[05/12/2022, 16:05:40][TEMP] : ERROR : Failed to read temp! : 'NoneType' object is not subscriptable
